"age","sexe","nivetud","occup","qualif","freres.soeurs","clso","relig","trav.imp","trav.satisf","hard.rock","lecture.bd","peche.chasse","cuisine","bricol","cinema","sport","heures.tv","age_group"
62,"Femme","Supérieur & tech","Au foyer","Cadre",1,"Oui","Pratiquant occasionnel",NA,NA,"Non","Non","Non","Oui","Non","Oui","Oui",3,"50-64"
19,"Femme",NA,"Etudiant, eleve",NA,1,"Oui","Pratiquant occasionnel",NA,NA,"Non","Non","Non","Oui","Non","Oui","Oui",3,"18-24"
51,"Femme","Techno/Pro court","Au foyer","Ouvrier specialise",4,"Non","Pratiquant occasionnel",NA,NA,"Non","Non","Non","Oui","Non","Non","Non",0,"50-64"
52,"Femme","Primaires","Exerce une profession","Employe",5,"Non","Rejet","Moins important que le reste","Satisfaction","Non","Non","Non","Non","Non","Oui","Non",3,"50-64"
60,"Homme","< Etudes primaires","Retraite","Ouvrier specialise",10,"Non","Pratiquant regulier",NA,NA,"Non","Non","Non","Non","Oui","Non","Non",3,"50-64"
31,"Femme","Supérieur & tech","Chomeur","Cadre",6,"Non","Ni croyance ni appartenance",NA,NA,"Non","Non","Non","Non","Non","Non","Oui",0,"25-34"
53,"Femme","Primaires","Exerce une profession","Ouvrier qualifie",5,"Non","Appartenance sans pratique","Peu important","Equilibre","Non","Non","Non","Oui","Non","Non","Non",0.6,"50-64"
44,"Femme","Supérieur & tech","Exerce une profession","Cadre",6,"Oui","Appartenance sans pratique","Moins important que le reste","Satisfaction","Non","Non","Non","Oui","Non","Oui","Oui",0.6,"35-49"
35,"Homme","Techno/Pro court","Exerce une profession","Ouvrier qualifie",2,"Non","Rejet","Peu important","Satisfaction","Non","Non","Non","Non","Oui","Non","Non",2,"35-49"
68,"Homme","Primaires","Retire des affaires",NA,0,"Non","Appartenance sans pratique",NA,NA,"Non","Non","Non","Non","Oui","Non","Non",3,"65+"
27,"Homme","2eme cycle","Chomeur","Ouvrier qualifie",0,"Oui","Rejet",NA,NA,"Non","Non","Non","Non","Non","Oui","Oui",0,"25-34"
70,"Femme","Primaires","Retire des affaires",NA,1,"Non","Pratiquant occasionnel",NA,NA,"Non","Non","Oui","Oui","Non","Non","Oui",2,"65+"
42,"Homme","1er cycle","Exerce une profession","Ouvrier specialise",2,"Oui","Ni croyance ni appartenance","Moins important que le reste","Equilibre","Non","Non","Oui","Non","Oui","Non","Non",2,"35-49"
19,"Homme","Techno/Pro long","Chomeur","Ouvrier specialise",2,"Non","Appartenance sans pratique",NA,NA,"Non","Non","Oui","Oui","Non","Oui","Oui",4,"18-24"
66,"Femme","N'a jamais fait d'etudes","Au foyer",NA,3,"Non","Appartenance sans pratique",NA,NA,"Non","Non","Non","Oui","Non","Non","Non",4,"65+"
46,"Homme","Supérieur & tech","Exerce une profession","Cadre",0,"Non","Appartenance sans pratique","Moins important que le reste","Equilibre","Non","Non","Non","Oui","Oui","Oui","Oui",2,"35-49"
77,"Femme","1er cycle","Retire des affaires",NA,0,"Non","Appartenance sans pratique",NA,NA,"Non","Non","Non","Oui","Non","Non","Non",1,"65+"
42,"Homme","Techno/Pro court","Exerce une profession","Profession intermediaire",3,"Oui","Pratiquant regulier","Moins important que le reste","Satisfaction","Non","Non","Non","Non","Non","Non","Oui",2,"35-49"
22,"Femme",NA,"Etudiant, eleve",NA,2,"Oui","Pratiquant regulier",NA,NA,"Non","Non","Non","Oui","Non","Non","Oui",2,"18-24"
35,"Femme","Techno/Pro court","Exerce une profession","Ouvrier specialise",3,"Oui","Pratiquant occasionnel","Moins important que le reste","Insatisfaction","Non","Non","Non","Non","Non","Oui","Non",3,"35-49"
37,"Femme","Techno/Pro court","Exerce une profession","Employe",7,"Non","Pratiquant regulier","Moins important que le reste","Satisfaction","Non","Non","Non","Non","Oui","Oui","Non",0,"35-49"
23,"Homme","Techno/Pro long","Exerce une profession","Employe",4,"Non","Appartenance sans pratique","Moins important que le reste","Equilibre","Non","Non","Non","Non","Non","Oui","Oui",0,"18-24"
64,"Homme","Supérieur & tech","Retraite","Cadre",2,"Non","Appartenance sans pratique",NA,NA,"Non","Non","Non","Oui","Oui","Oui","Oui",3,"50-64"
29,"Femme","Techno/Pro long","Chomeur","Ouvrier specialise",3,"Non","Ni croyance ni appartenance",NA,NA,"Non","Non","Non","Oui","Oui","Oui","Non",4,"25-34"
58,"Homme","N'a jamais fait d'etudes","Retraite","Ouvrier qualifie",2,"Non","Pratiquant regulier",NA,NA,"Non","Non","Non","Non","Non","Non","Non",1,"50-64"
39,"Homme","Techno/Pro court","Exerce une profession","Profession intermediaire",1,"Non","Ni croyance ni appartenance","Moins important que le reste","Equilibre","Non","Non","Non","Oui","Oui","Oui","Non",3,"35-49"
39,"Homme","Techno/Pro court","Exerce une profession","Ouvrier specialise",3,"Oui","Ni croyance ni appartenance","Aussi important que le reste","Insatisfaction","Non","Non","Oui","Oui","Oui","Non","Oui",3,"35-49"
73,"Homme","< Etudes primaires","Retraite","Employe",2,"Oui","Pratiquant occasionnel",NA,NA,"Non","Non","Non","Non","Non","Non","Non",10,"65+"
57,"Homme","Techno/Pro court","Exerce une profession","Profession intermediaire",0,"Oui","Appartenance sans pratique","Moins important que le reste","Equilibre","Non","Non","Non","Non","Non","Non","Non",3,"50-64"
57,"Homme","Primaires","Autre inactif","Ouvrier qualifie",3,"Non","Appartenance sans pratique",NA,NA,"Non","Non","Oui","Non","Oui","Non","Non",4,"50-64"
57,"Femme","Primaires","Exerce une profession","Employe",1,"Oui","Appartenance sans pratique","Moins important que le reste","Satisfaction","Non","Non","Non","Oui","Oui","Oui","Non",0,"50-64"
44,"Femme","Techno/Pro court","Exerce une profession","Ouvrier specialise",1,"Oui","Ni croyance ni appartenance","Peu important","Equilibre","Non","Non","Non","Oui","Non","Oui","Non",2,"35-49"
66,"Femme","N'a jamais fait d'etudes","Retraite","Technicien",5,"Non","Pratiquant regulier",NA,NA,"Non","Non","Non","Non","Oui","Non","Non",10,"65+"
19,"Homme","Techno/Pro court","Exerce une profession","Ouvrier specialise",7,"Non","Appartenance sans pratique","Moins important que le reste","Equilibre","Non","Non","Non","Non","Non","Oui","Oui",0.4,"18-24"
24,"Homme","Supérieur & tech","Exerce une profession","Technicien",1,"Oui","Appartenance sans pratique","Moins important que le reste","Satisfaction","Non","Non","Non","Non","Oui","Non","Oui",0,"18-24"
32,"Femme","2eme cycle","Chomeur","Employe",0,"Oui","Pratiquant occasionnel",NA,NA,"Non","Non","Non","Oui","Non","Non","Non",5,"25-34"
40,"Femme","Techno/Pro court","Exerce une profession","Employe",4,"Non","Pratiquant occasionnel","Aussi important que le reste","Equilibre","Non","Non","Non","Non","Non","Non","Oui",0,"35-49"
44,"Homme","Primaires","Exerce une profession","Profession intermediaire",4,"Non","Ni croyance ni appartenance","Aussi important que le reste","Satisfaction","Non","Non","Oui","Non","Non","Oui","Non",3,"35-49"
26,"Femme","2eme cycle","Chomeur","Employe",2,"Non","Ni croyance ni appartenance",NA,NA,"Non","Non","Non","Non","Oui","Non","Non",1,"25-34"
40,"Femme","1er cycle","Exerce une profession","Profession intermediaire",3,"Non","Pratiquant occasionnel","Moins important que le reste","Satisfaction","Non","Non","Non","Oui","Oui","Oui","Non",1,"35-49"
36,"Femme","2eme cycle","Au foyer","Cadre",11,"Non","Pratiquant regulier",NA,NA,"Non","Non","Non","Non","Non","Oui","Non",1.1,"35-49"
72,"Femme","Supérieur & tech","Retraite","Cadre",1,"Oui","Pratiquant occasionnel",NA,NA,"Non","Non","Non","Oui","Oui","Oui","Non",0,"65+"
29,"Femme","2eme cycle","Exerce une profession",NA,2,"Oui","Ni croyance ni appartenance","Aussi important que le reste","Equilibre","Non","Non","Oui","Oui","Oui","Oui","Oui",0,"25-34"
35,"Homme","Techno/Pro court","Exerce une profession","Ouvrier qualifie",3,"Oui","Ni croyance ni appartenance","Moins important que le reste","Equilibre","Non","Non","Non","Oui","Oui","Non","Oui",1,"35-49"
72,"Homme","Primaires","Retraite","Ouvrier specialise",3,"Non","Appartenance sans pratique",NA,NA,"Non","Non","Non","Non","Non","Non","Non",4,"65+"
57,"Femme","1er cycle","Autre inactif","Employe",4,"Oui","Ni croyance ni appartenance",NA,NA,"Non","Non","Non","Non","Non","Non","Non",5,"50-64"
40,"Femme","Supérieur & tech","Exerce une profession","Cadre",3,"Oui","Pratiquant regulier","Moins important que le reste","Insatisfaction","Non","Non","Oui","Non","Non","Oui","Oui",0.9,"35-49"
60,"Femme","Techno/Pro court","Retraite","Employe",1,"Oui","Pratiquant regulier",NA,NA,"Non","Non","Non","Oui","Non","Oui","Non",2,"50-64"
36,"Femme","Techno/Pro court","Exerce une profession","Employe",4,"Non","NSP ou NVPR","Moins important que le reste","Satisfaction","Non","Non","Non","Oui","Oui","Oui","Non",2,"35-49"
54,"Homme","N'a jamais fait d'etudes","Autre inactif","Ouvrier specialise",9,"Non","Appartenance sans pratique",NA,NA,"Non","Non","Non","Non","Non","Non","Non",4,"50-64"
21,"Femme",NA,"Exerce une profession","Employe",2,"Non","Appartenance sans pratique","Aussi important que le reste","Satisfaction","Non","Non","Non","Non","Non","Oui","Non",0.7,"18-24"
25,"Femme","Supérieur & tech","Etudiant, eleve",NA,0,"Oui","Appartenance sans pratique",NA,NA,"Non","Non","Non","Non","Non","Oui","Oui",0,"25-34"
34,"Homme","Techno/Pro court","Exerce une profession","Ouvrier specialise",3,"Oui","Ni croyance ni appartenance","Aussi important que le reste","Equilibre","Non","Non","Oui","Non","Non","Non","Non",1,"25-34"
51,"Femme","Techno/Pro court","Autre inactif","Ouvrier qualifie",2,"Non","Appartenance sans pratique",NA,NA,"Non","Non","Non","Non","Non","Oui","Non",5,"50-64"
64,"Homme","1er cycle","Retraite","Ouvrier qualifie",1,"Oui","Pratiquant regulier",NA,NA,"Non","Non","Non","Non","Non","Non","Non",0,"50-64"
32,"Homme",NA,"Chomeur","Autre",2,"Oui","NSP ou NVPR",NA,NA,"Non","Non","Non","Non","Non","Non","Non",0,"25-34"
24,"Femme","Techno/Pro long","Chomeur","Employe",1,"Non","Appartenance sans pratique",NA,NA,"Non","Non","Non","Oui","Oui","Oui","Oui",4,"18-24"
35,"Femme","Techno/Pro court","Au foyer","Employe",4,"Non","Ni croyance ni appartenance",NA,NA,"Non","Non","Non","Oui","Non","Oui","Oui",2,"35-49"
35,"Femme","Techno/Pro court","Exerce une profession","Employe",1,"Oui","Ni croyance ni appartenance","Moins important que le reste","Insatisfaction","Non","Non","Non","Non","Non","Oui","Non",1,"35-49"
19,"Homme",NA,"Etudiant, eleve",NA,1,"Oui","Appartenance sans pratique",NA,NA,"Non","Non","Non","Non","Non","Oui","Oui",0,"18-24"
50,"Femme","2eme cycle","Au foyer","Employe",2,"Non","Pratiquant occasionnel",NA,NA,"Non","Non","Non","Oui","Oui","Non","Non",5,"50-64"
28,"Homme",NA,"Etudiant, eleve","Employe",1,"Non","Ni croyance ni appartenance",NA,NA,"Non","Non","Non","Oui","Oui","Oui","Oui",1,"25-34"
64,"Homme","N'a jamais fait d'etudes","Retraite","Ouvrier specialise",4,"Non","Appartenance sans pratique",NA,NA,"Non","Non","Non","Non","Non","Non","Non",1,"50-64"
57,"Homme","Techno/Pro long","Chomeur","Profession intermediaire",2,"Oui","Appartenance sans pratique",NA,NA,"Non","Non","Non","Non","Non","Non","Non",5,"50-64"
56,"Homme","Supérieur & tech","Exerce une profession",NA,2,"Oui","Appartenance sans pratique","Aussi important que le reste","Satisfaction","Non","Non","Non","Non","Oui","Non","Non",0.4,"50-64"
78,"Femme","Primaires","Retraite","Employe",2,"Non","Pratiquant occasionnel",NA,NA,"Non","Non","Non","Non","Non","Non","Non",4,"65+"
39,"Femme","Techno/Pro court","Exerce une profession","Employe",1,"Non","Appartenance sans pratique","Aussi important que le reste","Equilibre","Non","Non","Non","Oui","Non","Oui","Non",4,"35-49"
27,"Femme","Techno/Pro long","Au foyer","Employe",2,"Oui","Ni croyance ni appartenance",NA,NA,"Non","Non","Oui","Oui","Non","Oui","Oui",2,"25-34"
47,"Homme","2eme cycle","Exerce une profession","Profession intermediaire",1,"Oui","Pratiquant occasionnel","Moins important que le reste","Equilibre","Non","Non","Non","Non","Oui","Non","Oui",2,"35-49"
54,"Femme","Supérieur & tech","Exerce une profession","Cadre",1,"Oui","Rejet","Moins important que le reste","Satisfaction","Non","Non","Non","Oui","Non","Non","Non",2,"50-64"
81,"Femme","Primaires","Retraite","Employe",4,"Oui","Ni croyance ni appartenance",NA,NA,"Non","Non","Non","Non","Non","Non","Non",1,"65+"
41,"Femme","Supérieur & tech","Exerce une profession","Cadre",1,"Oui","Ni croyance ni appartenance","Moins important que le reste","Equilibre","Non","Non","Non","Non","Non","Oui","Oui",1.4,"35-49"
38,"Femme","2eme cycle","Exerce une profession","Ouvrier qualifie",2,"Oui","Ni croyance ni appartenance","Moins important que le reste","Satisfaction","Non","Non","Non","Oui","Non","Oui","Oui",1,"35-49"
37,"Femme","Supérieur & tech","Exerce une profession","Employe",2,"Non","Ni croyance ni appartenance","Moins important que le reste","Equilibre","Non","Non","Non","Oui","Oui","Oui","Oui",0.6,"35-49"
54,"Femme","Primaires","Exerce une profession","Employe",8,"Non","Appartenance sans pratique","Moins important que le reste","Equilibre","Non","Non","Non","Oui","Oui","Non","Non",3,"50-64"
38,"Homme","2eme cycle","Exerce une profession","Profession intermediaire",0,"Non","Ni croyance ni appartenance","Moins important que le reste","Equilibre","Non","Non","Non","Oui","Oui","Oui","Oui",4,"35-49"
40,"Femme","Supérieur & tech","Exerce une profession","Cadre",3,"Non","Appartenance sans pratique","Peu important","Equilibre","Non","Non","Oui","Non","Oui","Oui","Non",0.7,"35-49"
32,"Femme","Techno/Pro court","Au foyer","Ouvrier qualifie",4,"Ne sait pas","Ni croyance ni appartenance",NA,NA,"Non","Non","Non","Oui","Non","Non","Oui",3,"25-34"
38,"Homme","Supérieur & tech","Exerce une profession","Technicien",5,"Non","Pratiquant regulier","Moins important que le reste","Equilibre","Non","Non","Non","Non","Oui","Non","Oui",3,"35-49"
39,"Homme","Techno/Pro court","Exerce une profession","Technicien",5,"Non","Appartenance sans pratique","Moins important que le reste","Equilibre","Non","Non","Non","Non","Non","Oui","Oui",1.1,"35-49"
23,"Homme",NA,"Etudiant, eleve",NA,4,"Non","Pratiquant occasionnel",NA,NA,"Non","Non","Non","Non","Oui","Oui","Oui",2,"18-24"
62,"Femme","Techno/Pro long","Retraite","Employe",4,"Non","Appartenance sans pratique",NA,NA,"Non","Non","Non","Non","Non","Non","Non",3,"50-64"
39,"Femme","2eme cycle","Exerce une profession","Profession intermediaire",1,"Non","Appartenance sans pratique","Moins important que le reste","Equilibre","Non","Non","Non","Oui","Non","Oui","Non",2,"35-49"
50,"Femme","Techno/Pro court","Au foyer","Employe",1,"Non","Appartenance sans pratique",NA,NA,"Non","Non","Non","Oui","Non","Oui","Oui",2,"50-64"
35,"Homme","Techno/Pro court","Exerce une profession","Ouvrier qualifie",2,"Oui","Rejet","Moins important que le reste","Equilibre","Non","Non","Non","Non","Non","Oui","Non",3,"35-49"
33,"Homme","Techno/Pro court","Exerce une profession","Technicien",1,"Oui","Pratiquant occasionnel","Moins important que le reste","Equilibre","Non","Non","Oui","Oui","Oui","Non","Oui",3,"25-34"
78,"Femme","1er cycle","Au foyer",NA,2,"Non","Pratiquant occasionnel",NA,NA,"Non","Non","Non","Oui","Oui","Non","Non",3,"65+"
47,"Femme","Primaires","Exerce une profession","Employe",6,"Oui","Appartenance sans pratique","Moins important que le reste","Equilibre","Non","Non","Oui","Non","Non","Non","Non",3,"35-49"
48,"Femme","Primaires","Au foyer","Ouvrier specialise",2,"Oui","Pratiquant regulier",NA,NA,"Non","Non","Non","Oui","Oui","Non","Oui",3,"35-49"
62,"Femme","Primaires","Exerce une profession","Employe",1,"Oui","NSP ou NVPR","Moins important que le reste","Insatisfaction","Non","Non","Non","Oui","Oui","Non","Non",2,"50-64"
37,"Femme","Supérieur & tech","Exerce une profession",NA,1,"Non","Ni croyance ni appartenance","Moins important que le reste","Insatisfaction","Non","Non","Non","Oui","Oui","Oui","Oui",1.4,"35-49"
52,"Homme","1er cycle","Autre inactif","Ouvrier specialise",8,"Non","Pratiquant regulier",NA,NA,"Non","Non","Non","Non","Non","Non","Non",1,"50-64"
62,"Femme","Primaires","Retraite","Ouvrier qualifie",7,"Non","Pratiquant occasionnel",NA,NA,"Non","Non","Non","Non","Non","Non","Non",4,"50-64"
52,"Homme","Supérieur & tech","Exerce une profession","Cadre",2,"Oui","Appartenance sans pratique","Moins important que le reste","Satisfaction","Non","Non","Oui","Oui","Oui","Non","Non",0.4,"50-64"
20,"Homme",NA,"Etudiant, eleve",NA,2,"Oui","Appartenance sans pratique",NA,NA,"Non","Oui","Non","Oui","Non","Oui","Oui",0,"18-24"
56,"Femme","Supérieur & tech","Retraite","Cadre",2,"Non","Ni croyance ni appartenance",NA,NA,"Non","Non","Non","Non","Oui","Non","Non",4,"50-64"
23,"Femme","2eme cycle","Exerce une profession","Employe",4,"Non","Appartenance sans pratique","Aussi important que le reste","Satisfaction","Non","Non","Non","Non","Non","Oui","Non",1,"18-24"
73,"Femme","N'a jamais fait d'etudes","Autre inactif","Ouvrier specialise",3,"Non","Pratiquant occasionnel",NA,NA,"Non","Non","Non","Oui","Non","Non","Non",4,"65+"
34,"Homme","Supérieur & tech","Exerce une profession","Employe",9,"Non","Pratiquant regulier","Peu important","Equilibre","Non","Oui","Oui","Oui","Oui","Oui","Oui",1,"25-34"
47,"Femme","Techno/Pro court","Exerce une profession","Employe",1,"Oui","Pratiquant occasionnel","Moins important que le reste","Equilibre","Non","Non","Non","Oui","Oui","Non","Non",1,"35-49"
40,"Homme","2eme cycle","Exerce une profession","Cadre",4,"Non","Appartenance sans pratique","Moins important que le reste","Equilibre","Non","Non","Non","Oui","Oui","Oui","Oui",3,"35-49"
82,"Femme","Techno/Pro court","Retraite","Employe",1,"Ne sait pas","Pratiquant regulier",NA,NA,"Non","Non","Non","Non","Non","Non","Oui",3,"65+"
20,"Femme",NA,"Etudiant, eleve",NA,2,"Oui","Pratiquant occasionnel",NA,NA,"Non","Non","Non","Oui","Oui","Oui","Oui",2,"18-24"
42,"Homme","Techno/Pro court","Exerce une profession","Ouvrier qualifie",3,"Non","Appartenance sans pratique","Moins important que le reste","Equilibre","Non","Non","Non","Non","Non","Non","Non",0,"35-49"
38,"Femme","Supérieur & tech","Exerce une profession","Cadre",1,"Non","Pratiquant occasionnel","Aussi important que le reste","Equilibre","Non","Non","Non","Oui","Non","Non","Oui",0,"35-49"
56,"Homme","Techno/Pro court","Exerce une profession","Ouvrier qualifie",2,"Oui","Pratiquant regulier","Moins important que le reste","Equilibre","Non","Non","Non","Oui","Oui","Non","Non",2,"50-64"
63,"Homme","Primaires","Retraite","Technicien",1,"Non","Appartenance sans pratique",NA,NA,"Non","Non","Non","Non","Non","Non","Non",5,"50-64"
77,"Homme","< Etudes primaires","Retraite","Ouvrier qualifie",6,"Non","Ni croyance ni appartenance",NA,NA,"Non","Non","Non","Oui","Non","Non","Non",0,"65+"
44,"Homme","Primaires","Exerce une profession","Ouvrier qualifie",3,"Non","Appartenance sans pratique","Aussi important que le reste","Equilibre","Non","Non","Non","Non","Oui","Non","Non",2,"35-49"
30,"Homme","Supérieur & tech","Exerce une profession","Employe",8,"Non","Rejet","Moins important que le reste","Insatisfaction","Non","Non","Non","Oui","Oui","Oui","Non",3,"25-34"
40,"Femme","1er cycle","Exerce une profession","Employe",2,"Oui","Appartenance sans pratique","Moins important que le reste","Equilibre","Non","Non","Non","Oui","Oui","Oui","Oui",2,"35-49"
44,"Femme","Techno/Pro court","Exerce une profession","Employe",2,"Oui","Appartenance sans pratique","Moins important que le reste","Equilibre","Non","Non","Non","Non","Non","Non","Oui",3,"35-49"
60,"Homme","Supérieur & tech","Exerce une profession",NA,3,"Oui","Appartenance sans pratique","Aussi important que le reste","Satisfaction","Non","Non","Non","Oui","Oui","Oui","Oui",1,"50-64"
58,"Femme","< Etudes primaires","Autre inactif","Ouvrier specialise",5,"Oui","Pratiquant occasionnel",NA,NA,"Non","Non","Non","Non","Non","Non","Non",4,"50-64"
60,"Homme","Techno/Pro court","Retraite","Ouvrier qualifie",1,"Oui","Ni croyance ni appartenance",NA,NA,"Non","Non","Non","Non","Oui","Non","Non",4,"50-64"
77,"Femme","1er cycle","Retraite","Cadre",6,"Oui","Pratiquant occasionnel",NA,NA,"Non","Non","Non","Oui","Non","Non","Non",3,"65+"
72,"Homme","Primaires","Retraite","Ouvrier specialise",7,"Oui","Appartenance sans pratique",NA,NA,"Non","Non","Oui","Oui","Non","Non","Oui",4,"65+"
18,"Homme",NA,"Etudiant, eleve",NA,6,"Non","Pratiquant regulier",NA,NA,"Non","Non","Non","Non","Oui","Oui","Oui",3,"18-24"
38,"Femme","2eme cycle","Exerce une profession","Profession intermediaire",2,"Oui","Appartenance sans pratique","Moins important que le reste","Equilibre","Non","Non","Non","Oui","Oui","Oui","Non",3,"35-49"
51,"Homme","Techno/Pro long","Exerce une profession","Profession intermediaire",3,"Non","Pratiquant regulier","Moins important que le reste","Equilibre","Non","Non","Oui","Non","Non","Non","Oui",3,"50-64"
58,"Femme","Primaires","Autre inactif",NA,1,"Non","Appartenance sans pratique",NA,NA,"Non","Non","Non","Oui","Non","Non","Non",3,"50-64"
35,"Femme","Supérieur & tech","Exerce une profession","Employe",3,"Non","Ni croyance ni appartenance","Moins important que le reste","Equilibre","Non","Non","Non","Oui","Oui","Non","Oui",2,"35-49"
37,"Homme","Techno/Pro court","Exerce une profession","Ouvrier qualifie",4,"Oui","Appartenance sans pratique","Aussi important que le reste","Equilibre","Non","Non","Non","Non","Oui","Oui","Non",3,"35-49"
54,"Femme","Supérieur & tech","Exerce une profession","Autre",2,"Non","Appartenance sans pratique","Moins important que le reste","Satisfaction","Non","Non","Non","Oui","Oui","Non","Oui",2,"50-64"
46,"Homme","Primaires","Exerce une profession","Ouvrier qualifie",2,"Non","Pratiquant occasionnel","Aussi important que le reste","Insatisfaction","Non","Non","Non","Oui","Non","Non","Non",3,"35-49"
58,"Homme","Techno/Pro court","Retraite","Ouvrier qualifie",1,"Oui","Appartenance sans pratique",NA,NA,"Non","Non","Non","Oui","Non","Non","Non",3,"50-64"
30,"Femme","Techno/Pro court","Chomeur","Ouvrier specialise",3,"Non","Ni croyance ni appartenance",NA,NA,"Non","Non","Non","Oui","Non","Oui","Non",0,"25-34"
61,"Homme","Supérieur & tech","Retraite","Cadre",3,"Non","Appartenance sans pratique",NA,NA,"Non","Non","Oui","Oui","Non","Non","Non",1,"50-64"
43,"Femme","Techno/Pro court","Exerce une profession","Employe",4,"Non","Pratiquant regulier","Moins important que le reste","Insatisfaction","Non","Non","Non","Non","Non","Oui","Non",2,"35-49"
43,"Homme","Techno/Pro court","Exerce une profession","Autre",3,"Non","Pratiquant occasionnel","Moins important que le reste","Satisfaction","Non","Non","Non","Non","Oui","Non","Non",3,"35-49"
63,"Homme","1er cycle","Retraite","Ouvrier specialise",3,"Oui","Pratiquant occasionnel",NA,NA,"Non","Non","Oui","Oui","Non","Non","Non",0,"50-64"
88,"Homme","Primaires","Retraite","Ouvrier qualifie",8,"Non","Pratiquant occasionnel",NA,NA,"Non","Non","Non","Non","Non","Non","Non",2,"65+"
45,"Homme","Techno/Pro court","Autre inactif","Employe",1,"Non","Ni croyance ni appartenance",NA,NA,"Non","Non","Non","Non","Non","Non","Non",5,"35-49"
58,"Homme","Primaires","Exerce une profession","Ouvrier qualifie",4,"Oui","Pratiquant regulier","Aussi important que le reste","Equilibre","Non","Non","Non","Non","Oui","Non","Non",2,"50-64"
39,"Femme","1er cycle","Exerce une profession","Ouvrier specialise",9,"Non","Ni croyance ni appartenance","Moins important que le reste","Equilibre","Non","Non","Non","Oui","Oui","Oui","Non",0.7,"35-49"
71,"Femme","2eme cycle","Retraite","Employe",2,"Oui","Pratiquant regulier",NA,NA,"Non","Non","Non","Non","Oui","Oui","Oui",3,"65+"
39,"Homme","2eme cycle","Exerce une profession","Profession intermediaire",2,"Oui","Pratiquant occasionnel","Moins important que le reste","Satisfaction","Non","Non","Non","Non","Oui","Non","Non",2,"35-49"
56,"Homme","Techno/Pro court","Exerce une profession","Employe",1,"Oui","Appartenance sans pratique","Aussi important que le reste","Satisfaction","Non","Non","Non","Non","Oui","Oui","Oui",0.7,"50-64"
53,"Homme","Primaires","Chomeur","Ouvrier qualifie",7,"Non","Appartenance sans pratique",NA,NA,"Non","Non","Oui","Non","Oui","Non","Non",0.3,"50-64"
34,"Femme","Primaires","Au foyer",NA,7,"Non","Pratiquant regulier",NA,NA,"Non","Non","Non","Oui","Oui","Non","Oui",3,"25-34"
24,"Femme","Techno/Pro court","Chomeur","Employe",7,"Non","Appartenance sans pratique",NA,NA,"Non","Non","Non","Oui","Non","Non","Oui",2,"18-24"
46,"Femme","Techno/Pro court","Exerce une profession","Employe",8,"Non","Ni croyance ni appartenance","Moins important que le reste","Equilibre","Non","Non","Non","Non","Oui","Oui","Non",1,"35-49"
30,"Femme","< Etudes primaires","Exerce une profession","Employe",4,"Non","Ni croyance ni appartenance","Moins important que le reste","Equilibre","Non","Non","Non","Non","Oui","Non","Non",0,"25-34"
38,"Homme","Techno/Pro court","Exerce une profession","Ouvrier specialise",8,"Oui","Appartenance sans pratique","Peu important","Insatisfaction","Non","Non","Non","Non","Non","Non","Non",0.3,"35-49"
59,"Homme","Supérieur & tech","Exerce une profession","Cadre",7,"Non","Appartenance sans pratique","Moins important que le reste","Equilibre","Non","Non","Non","Oui","Oui","Non","Oui",5,"50-64"
30,"Femme","Supérieur & tech","Exerce une profession","Profession intermediaire",1,"Oui","Ni croyance ni appartenance","Moins important que le reste","Satisfaction","Non","Non","Non","Non","Non","Oui","Oui",1,"25-34"
69,"Homme","Techno/Pro court","Retraite","Ouvrier qualifie",5,"Oui","Pratiquant occasionnel",NA,NA,"Non","Non","Non","Non","Oui","Non","Non",0,"65+"
31,"Homme","Supérieur & tech","Exerce une profession","Cadre",1,"Oui","Ni croyance ni appartenance","Moins important que le reste","Satisfaction","Non","Non","Non","Non","Oui","Non","Oui",3,"25-34"
55,"Femme","Techno/Pro court","Exerce une profession","Employe",4,"Oui","Pratiquant occasionnel","Moins important que le reste","Equilibre","Non","Non","Non","Oui","Oui","Oui","Oui",1,"50-64"
44,"Femme","1er cycle","Exerce une profession","Employe",3,"Oui","Appartenance sans pratique","Moins important que le reste","Equilibre","Non","Non","Non","Non","Non","Oui","Non",7,"35-49"
22,"Femme","Techno/Pro court","Exerce une profession","Employe",1,"Non","Ni croyance ni appartenance","Moins important que le reste","Satisfaction","Non","Non","Non","Non","Non","Non","Non",2,"18-24"
61,"Homme","Supérieur & tech","Exerce une profession",NA,3,"Oui","Appartenance sans pratique","Aussi important que le reste","Satisfaction","Non","Non","Non","Non","Non","Non","Oui",2,"50-64"
41,"Homme","Techno/Pro court","Exerce une profession","Ouvrier specialise",4,"Oui","Ni croyance ni appartenance","Moins important que le reste","Equilibre","Non","Non","Non","Oui","Oui","Non","Oui",2,"35-49"
43,"Homme","Techno/Pro court","Exerce une profession","Ouvrier qualifie",0,"Oui","Rejet","Moins important que le reste","Insatisfaction","Non","Non","Non","Non","Oui","Non","Oui",3,"35-49"
53,"Homme","1er cycle","Exerce une profession","Ouvrier qualifie",1,"Non","Ni croyance ni appartenance","Aussi important que le reste","Satisfaction","Non","Non","Oui","Non","Oui","Non","Non",2.1,"50-64"
41,"Homme","Supérieur & tech","Exerce une profession","Cadre",2,"Oui","Appartenance sans pratique","Moins important que le reste","Satisfaction","Non","Non","Non","Non","Oui","Oui","Oui",2,"35-49"
